name,date,long
ABS-7 (KOREASAT 3),4-Sep-99,-122.2
TELKOM 1,12-Aug-99,67.2
ASTRA 1H,18-Jun-99,-135.7
NIMIQ 1,20-May-99,93.1
ORION 3,5-May-99,-21.7
USA 143,30-Apr-99,-12.1
EUTE 21A (EUTE W3),12-Apr-99,-149.7
USA 142,9-Apr-99,-174
INSAT 2E (APR-1),2-Apr-99,-22.4
ASIASAT 3S,21-Mar-99,91.3
RADUGA 1-4,28-Feb-99,35.7
SKYNET 4E,26-Feb-99,-1.3
ARABSAT 3A,26-Feb-99,122.3
JCSAT 6,16-Feb-99,93.7
GALAXY 26 (TELSTAR 6),15-Feb-99,78.3
INTELSAT 6B (PAS 6B),22-Dec-98,147.7
SATMEX 5,6-Dec-98,-163.2
BONUM 1,22-Nov-98,-2.9
INTELSAT 8 (PAS 8),4-Nov-98,-27.9
AMC-5 (GE-5),28-Oct-98,-64.7
AFRISTAR,28-Oct-98,80.8
EUTE 25A (HB 5),9-Oct-98,-100
SIRIUS 3,5-Oct-98,30.1
EUTELSAT W2,5-Oct-98,-140.5
INTELSAT 7 (PAS 7),16-Sep-98,34.3
ASTRA 2A,30-Aug-98,57.2
ST 1,25-Aug-98,-172.6
CHINASAT 5B (SINOSAT 1),18-Jul-98,-118.5
INTELSAT 805,18-Jun-98,86.3
THOR 3,10-Jun-98,-24
CHINASAT 5A (CHINASTAR1),30-May-98,151.2
ECHOSTAR 4,7-May-98,-54.5
COSMOS 2350,29-Apr-98,79.9
BSAT-1B,28-Apr-98,-143.9
NILESAT,28-Apr-98,72
NSS 806 (INTELSAT 806),28-Feb-98,-176.1
EUTE 16B (HB 4),27-Feb-98,-76.9
INMARSAT 3-F5,4-Feb-98,-53.9
BRAZILSAT B3,4-Feb-98,-74.2
SKYNET 4D,10-Jan-98,-38.6
HGS-1 (ASIASAT 3),24-Dec-97,-49.7
GALAXY 8,8-Dec-97,-35.4
ASTRA 1G,2-Dec-97,19.3
JCSAT 5,2-Dec-97,-18.1
INDOSTAR 1,11-Nov-97,117.4
SIRIUS 2 (GE-1E),11-Nov-97,46.3
KUPON,12-Nov-97,79.9
USA 134,25-Oct-97,-111.5
APSTAR 2R (TELSTAR 10),16-Oct-97,-108
ECHOSTAR 3,5-Oct-97,-43.3
NSS 5 (INTELSAT 803),23-Sep-97,-147.5
AMC-3 (GE-3),4-Sep-97,-71.9
METEOSAT 7,2-Sep-97,-160.7
W75/ABS-1B (HOT BIRD 3),2-Sep-97,-12.1
INTELSAT 5 (PAS 5),28-Aug-97,165.9
ABS 3,19-Aug-97,15.4
PAS 6,8-Aug-97,-138.9
SUPERBIRD C,28-Jul-97,156.6
INTELSAT 802,25-Jun-97,23
FENGYUN 2A,10-Jun-97,60.9
INSAT 2D,3-Jun-97,-84.4
INMARSAT 3-F4,3-Jun-97,103.1
GALAXY 25 (TELSTAR 5),24-May-97,66
THOR 2A,20-May-97,7.1
DFH-3 2,11-May-97,41.2
GOES 10,25-Apr-97,-127.7
BSAT-1A,16-Apr-97,47.2
THAICOM 3,16-Apr-97,174.3
